accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
JF772156.1	A/quail/Guangxi/12/2002	H5N1	2002-07	Galliformes		China	Asia		1707
JF772164.1	A/quail/Guangxi/13/2002	H5N1	2002-07	Galliformes		China	Asia		1707
CY016611.1	A/mallard/Maryland/789/2002	H5N2	2002-08-27	Anas platyrhynchos		USA: MD	North America	Egg 1/limiting dilution in egg 1 passage(s)	1733
FJ789840.1	A/wild bird feces/Cheonsuman2/2002	H5N3	2002-11			South Korea	Asia		1767
AB535131.1	A/whistling swan/Shimane/580/02	H5N3	2002-12-07	Cygnus columbianus jankowskii		Japan:Shimane	Asia		1695
JQ966928.1	A/condor/Guangdong/139/2003	H5N1	2003-01-23	Accipitriformes		China	Asia		1779
JF732739.1	A/ostrich/Suzhou/097/2003	H5N1	2003-04-16	Struthio camelus		China	Asia		1707
MH597212.1	A/ruddy turnstone/Delaware/1016418/2003	H5N2	2003-05-24	Arenaria interpres		USA: Delaware	North America		1737
MH597220.1	A/ruddy turnstone/Delaware/1016424/2003	H5N2	2003-05-24	Arenaria interpres		USA: Delaware	North America		1737
CY144507.1	A/ruddy turnstone/Delaware/AI03-371/2003	H5N2	2003-05-24	Arenaria interpres		USA: Port Mahon, Kent county, DE	North America	E>2 passage(s)	1737
EF541407.1	A/chicken/Viet Nam/Ncvd8/2003	H5N1	2003-08-01	Gallus gallus		Viet Nam	Asia		1741
GU183447.1	A/chicken/East Java/BL-IPA/2003	H5N1	2003-10	Gallus gallus		Indonesia	Asia		1704
GQ122384.1	A/chicken/West Java/UT1001/2003	H5N1	2003-10-20	Gallus gallus		Indonesia: West Java	Asia		1707
KC784945.1	A/chicken/Hong Kong/369/2003	H5N1	2003-11	Gallus gallus		China	Asia		1707
GU183448.1	A/chicken/West Java/1074/2003	H5N1	2003-11	Gallus gallus		Indonesia	Asia		1704
GQ122385.1	A/chicken/East Java/UT1006/2003	H5N1	2003-11-15	Gallus gallus		Indonesia: East Java	Asia		1707
EF473081.1	A/chicken/Indonesia/11/2003	H5N1	2003-12-20	Gallus gallus		Indonesia	Asia	embryonating chicken eggs	1748
EF473080.1	A/chicken/Indonesia/7/2003	H5N1	2003-12-20	Gallus gallus		Indonesia	Asia	embryonating chicken eggs	1748
HM114465.1	A/Vietnam/UT3030/2003	H5N1	2003-12-29	Homo sapiens		Viet Nam	Asia		1704
HM627945.1	A/openbill stork/Thailand/VSMU-12-BKK/2003	H5N1	2003-12-30	Anastomus oscitans		Thailand: Bangkok	Asia		1781
HM114473.1	A/Vietnam/UT3035/2003	H5N1	2003-12-31	Homo sapiens		Viet Nam	Asia		1704
EF541406.1	A/chicken/Viet Nam/Ncvd31/2004	H5N1	2004-01-05	Gallus gallus		Viet Nam	Asia		1741
HM114490.1	A/Vietnam/UT3040II/2004	H5N1	2004-01-07	Homo sapiens		Viet Nam	Asia		1704
GQ122386.1	A/quail/Yogjakarta/UT1023/2004	H5N1	2004-01-15	Galliformes		Indonesia: Yogjakarta	Asia		1707
HM114505.1	A/Vietnam/UT3062/2004	H5N1	2004-01-16	Homo sapiens		Viet Nam	Asia		1704
EF670482.1	A/chicken/Hubei/14/2004	H5N1	2004-01-28	Gallus gallus		China	Asia		1779
HM627913.1	A/openbill stork/Thailand/VSMU-4-NSN/2004	H5N1	2004-02-05	Anastomus oscitans		Thailand: Nakhonsawan province	Asia		1708
HM627921.1	A/openbill stork/Thailand/VSMU-5-NSN/2004	H5N1	2004-02-05	Anastomus oscitans		Thailand: Nakhonsawan province	Asia		1711
HM627937.1	A/openbill stork/Thailand/VSMU-8-BKK/2004	H5N1	2004-02-12	Anastomus oscitans		Thailand: Bangkok	Asia		1735
HM627929.1	A/openbill stork/Thailand/VSMU-6-BKK/2004	H5N1	2004-02-13	Anastomus oscitans		Thailand: Bangkok	Asia		1729
GQ122387.1	A/chicken/East Kalimantan/UT1035/2004	H5N1	2004-02-16	Gallus gallus		Indonesia: East Kalimantan	Asia		1707
GQ122388.1	A/duck/East Java/UT1046/2004	H5N1	2004-03-12	Anatidae		Indonesia: East Java	Asia		1707
MK006041.1	A/ruddy turnstone/Delaware Bay/75/2004	H5N7	2004-05-17	Arenaria interpres		USA	North America		1695
CY144579.1	A/ruddy turnstone/New Jersey/1148676/2004	H5N7	2004-05-17	Arenaria interpres		USA: Fortescue Beach, NJ	North America	E2 passage(s)	1741
CY005927.1	A/shorebird/DE/101/2004	H5N7	2004-05-17	Aves		USA: Delaware	North America		1766
CY005969.1	A/shorebird/DE/75/2004	H5N7	2004-05-17	Aves		USA: Delaware	North America		1766
GQ122389.1	A/quail/Yogjakarta/UT1075/2004	H5N1	2004-05-25	Galliformes		Indonesia: Yogjakarta	Asia		1707
KR987707.1	A/chicken/Denpasar/02/2004	H5N1	2004-06-30	Gallus gallus		Indonesia	Asia		1751
HM114513.1	A/Vietnam/UT30259/2004	H5N1	2004-07-27	Homo sapiens		Viet Nam	Asia		1701
ON714528.1	A/Duck/Malaysia/8443/2004	H5N2	2004-08	Anatidae		Malaysia	Asia		1732
EF456795.1	A/Viet Nam/JP178/2004	H5N1	2004-08	Homo sapiens		Viet Nam	Asia		1707
FJ519983.2	A/ostrich/South Africa/N227/2004	H5N2	2004-08	Struthio camelus		South Africa	Africa		1702
KC684446.1	A/chicken/Malaysia/5744/2004	H5N1	2004-08-17	Gallus gallus		Malaysia	Asia		1707
GQ122390.1	A/duck/East Java/UT1107/2004	H5N1	2004-08-25	Anatidae		Indonesia: East Java	Asia		1707
GU183449.1	A/Muscovy duck/Jakarta/DKI-Uwit/2004	H5N1	2004-10	Cairina moschata		Indonesia	Asia		1704
GU183450.1	A/chicken/Banten/Pdgl-Kas/2004	H5N1	2004-10	Gallus gallus		Indonesia	Asia		1704
OR950716.1	A/wild bird/Taipei/04WB12-522-11-15/2004	H5N6	2004-12-01	Aves		Taiwan: Taipei	Asia		1767
GU351859.1	A/duck/Korea/GJ54/2004	H5N2	2004-12-24	Anatidae		South Korea	Asia		1740
JQ990145.1	A/parrot/Guangdong/258/2004	H5N2	2004-12-29	Psittacidae		China	Asia		1767
GQ184330.1	A/mallard/Xuyi/10/2005	H5N2	2005-01	Anas platyrhynchos		China	Asia		1763
GU189678.1	A/chicken/West Java/Smi-Hay/2005	H5N1	2005-02	Gallus gallus		Indonesia	Asia		1704
JX013485.1	A/parrot/Guangdong/C99/2005	H5N1	2005-02-01	Psittacidae		China	Asia		1779
CY036751.1	A/environment/New York/11653-1/2005	H5N2	2005-02-02			USA: New York	North America	Egg p1 passage(s)	1719
HM114529.1	A/Vietnam/UT30408III/2005	H5N1	2005-02-27	Homo sapiens		Viet Nam	Asia		1701
KP233704.1	A/duck/Hunan/316/2005	H5N1	2005-04-21	Anatidae		China: Hunan	Asia		1776
CY047552.1	A/mallard/Quebec/16334/2005	H5N3	2005-08-19	Anas platyrhynchos		Canada: Quebec	North America	egg 1 passage(s)	1733
CY056268.1	A/mallard/California/39/2005	H5N9	2005-08-20	Anas platyrhynchos		USA: Gridley, CA	North America	egg 2 passage(s)	1715
CY047496.1	A/mallard/British Columbia/07826/2005	H5N2	2005-08-30	Anas platyrhynchos		Canada: British Columbia	North America	egg 1 passage(s)	1720
EU124094.1	A/Chicken/Medan/BPPV1-498/2005	H5N1	2005-09-15	Gallus gallus		Indonesia	Asia		1731
KC815853.1	A/mallard/Italy/3401/2005	H5N1	2005-09-19	Anas platyrhynchos		Italy	Europe		1719
EU124092.1	A/chicken/Medan/BPPV1-534/2005	H5N1	2005-09-22	Gallus gallus		Indonesia	Asia		1695
CY110933.1	A/duck/Taiwan/DV30-2/2005	H5N2	2005-10-28	Anas platyrhynchos		Taiwan: Yilan	Asia		1733
FJ864690.1	A/chicken/Mexico/435/2005	H5N2	2005-11	Gallus gallus		Mexico	North America		1695
FJ032001.1	A/mallard/ON/499/2005	H5N1	2005-11	Anas platyrhynchos		Canada	North America		1767
FJ767712.1	A/wild bird feces/Goseong/71/2005	H5N2	2005-11			South Korea	Asia		1696
EU124168.1	A/Chicken/Vietnam/Long An 636/2005	H5N1	2005-11-21	Gallus gallus		Viet Nam	Asia		1736
EU124134.1	A/Duck/Vietnam/Dong Thap 680A/2005	H5N1	2005-11-21	Anatidae		Viet Nam	Asia		1736
OR950276.1	A/duck/Taipei/05WB830-1-5-E2/2005	H5N2	2005-11-24	Anatidae		Taiwan: Taipei	Asia		1767
CY061885.1	A/teal/Germany/Wv632/2005	H5N1	2005-11-25	Anas		Germany	Europe	E2 passage(s)	1767
GU361197.1	A/aquatic bird/Korea/w96/2005	H5N2	2005-12	Aves		South Korea	Asia		1695
EU930892.1	A/chicken/Vietnam/202/2005	H5N1	2005-12-05	Gallus gallus		Viet Nam	Asia		1732
EU930924.1	A/duck/Vietnam/206/2005	H5N1	2005-12-07	Anatidae		Viet Nam	Asia		1733
EU930948.1	A/chicken/Vietnam/209/2005	H5N1	2005-12-08	Anatidae		Viet Nam	Asia		1732
FJ492882.1	A/Fujian/1/2005	H5N1	2005-12-12	Homo sapiens		China	Asia		1704
EU124174.1	A/Duck/Vietnam/Dong Thap 680D/2005	H5N1	2005-12-17	Anatidae		Viet Nam	Asia		1709
EU124170.1	A/Duck/Vietnam/Dong Thap 680H/2005	H5N1	2005-12-17	Anatidae		Viet Nam	Asia		1730
EU124172.1	A/Duck/Vietnam/Hau Giang680F/2005	H5N1	2005-12-17	Anatidae		Viet Nam	Asia		1729
EU931004.1	A/Muscovy duck/Vietnam/217/2005	H5N1	2005-12-18	Gallus gallus		Viet Nam	Asia		1734
EU930996.1	A/chicken/Vietnam/216/2005	H5N1	2005-12-18	Anatidae		Viet Nam	Asia		1733
EU931012.1	A/duck/Vietnam/218/2005	H5N1	2005-12-19	Cairina moschata		Viet Nam	Asia		1737
EU931020.1	A/duck/Vietnam/219/2005	H5N1	2005-12-19	Anatidae		Viet Nam	Asia		1737
MF566119.1	A/duck/Niger/2090/2006	H5N1	2006-02	Anatidae		Niger	Africa		1745
FJ492879.1	A/Hunan/1/2006	H5N1	2006-02-04	Homo sapiens		China	Asia		1704
CY048083.1	A/chicken/Nigeria/08RS848-1/2006(H5N1)	H5N1	2006-02-14	Gallus gallus		Nigeria: Katsina	Africa	E1 passage(s)	1707
GQ355814.1	A/duck/Leibnitz/243/2006	H5N1	2006-02-14	Anatidae		Austria	Europe		1695
EU443550.1	A/Mergus albellus/Slovakia/Vh212/06	H5N1	2006-02-17	Mergellus albellus		Slovakia: Podunajske Biskupice	Europe		1745
CY048307.1	A/chicken/Nigeria/08RS848-4/2006(H5N1)	H5N1	2006-02-17	Gallus gallus		Nigeria: Katsina	Africa	E1 passage(s)	1707
KP969039.1	A/mute swan/Hungary/4999/2006	H5N1	2006-02-20	Cygnus olor		Hungary	Europe		1707
CY048419.1	A/chicken/Nigeria/08RS848-6/2006(H5N1)	H5N1	2006-02-27	Gallus gallus		Nigeria: Ogun	Africa	E1 passage(s)	1707
KF178948.1	A/chicken/Egypt/0626/2006	H5N1	2006-02-28	Gallus gallus		Egypt: Alexandria	Africa		1707
GU046710.1	A/swan/Bavaria/25/2006	H5N1	2006-03	Anatidae		Germany	Europe		1707
CY098634.1	A/Shanghai/1/2006	H5N1	2006-03-13	Homo sapiens		China: Shanghai	Asia	E3 passage(s)	1715
EU372944.1	A/chicken/Egypt/06459-3-NLQP/2006	H5N1	2006-03-13	Gallus gallus		Egypt: Monofia	Africa		1736
EU372945.1	A/chicken/Egypt/06495-NLQP/2006	H5N1	2006-03-17	Gallus gallus		Egypt: Sharkia	Africa		1709
EU372946.2	A/chicken/Egypt/06541-NLQP/2006	H5N1	2006-03-20	Gallus gallus		Egypt: Cairo	Africa		1780
CY046150.1	A/duck/France/06436/2006(H5N3)	H5N3	2006-03-21	Anatidae		France	Europe	E2 passage(s)	1744
EU443543.1	A/cygnus olor/Czech Republic/5583/06	H5N1	2006-03-25	Cygnus olor		Czech Republic: Ceske Budejovice	Europe		1745
EU443547.1	A/cygnus olor/Czech Republic/5761/06	H5N1	2006-03-27	Cygnus olor		Czech Republic: Hluboka nad Vltavou	Europe		1745
GU046722.1	A/common pochard/Bavaria/30/2006	H5N1	2006-04	Aythya ferina		Germany	Europe		1707
GU046730.1	A/goosander/Bavaria/34/2006	H5N1	2006-04	Mergus merganser		Germany	Europe		1707
GU046724.1	A/great crested grebe/Bavaria/31/2006	H5N1	2006-04	Podiceps cristatus		Germany	Europe		1707
GU046726.1	A/swan/Bavaria/32/2006	H5N1	2006-04	Anatidae		Germany	Europe		1707
GU046728.1	A/swan/Bavaria/33/2006	H5N1	2006-04	Anatidae		Germany	Europe		1707
GU046716.1	A/tufted duck/Bavaria/27/2006	H5N1	2006-04	Aythya fuligula		Germany	Europe		1707
EU443551.1	A/cygnus olor/Czech Republic/6461/06	H5N1	2006-04-02	Cygnus olor		Czech Republic: Mirochov	Europe		1745
CY048579.1	A/chicken/Nigeria/08RS848-9/2006(H5N1)	H5N1	2006-04-04	Gallus gallus		Nigeria: Jigawa	Africa	E1 passage(s)	1707
HQ200428.1	A/duck/Cambodia/D2KP/2006	H5N1	2006-04-04	Anatidae		Cambodia: Kampot Province	Asia		1704
CY048091.1	A/guinea fowl/Nigeria/08RS848-10/2006(H5N1)	H5N1	2006-04-04	Numididae		Nigeria: Jigawa	Africa	E1 passage(s)	1707
EU443548.1	A/cygnus olor/Czech Republic/7208/06	H5N1	2006-04-07	Cygnus olor		Czech Republic: Orlik	Europe		1745
GQ355837.1	A/swan/Wien/2323/2006	H5N1	2006-04-13	Anatidae		Austria	Europe		1698
GQ355827.1	A/swan/Krems/2547/2006	H5N1	2006-04-21	Anatidae		Austria	Europe		1698
CY014272.1	A/Indonesia/CDC594/2006	H5N1	2006-05-09	Homo sapiens		Indonesia	Asia	E1 passage(s)	1707
JX080784.1	A/tundra swan/Alaska/44050-005/2006	H5N2	2006-05-11	Cygnus columbianus		USA: AK	North America		1711
EU443541.1	A/cygnus olor/Czech Republic/10662/06	H5N1	2006-05-12	Cygnus olor		Czech Republic: Kostice	Europe		1745
EU146755.1	A/Indonesia/546H/2006	H5N1	2006-05-13	Homo sapiens		Indonesia	Asia		1707
MH988771.1	A/cormorant/Strilkova Kherson/63/2006	H5N1	2006-06	Phalacrocoracidae		Ukraine: Strilkova Kherson	Europe		1744
CY048211.1	A/chicken/Nigeria/08RS848-15/2006(H5N1)	H5N1	2006-06-07	Gallus gallus		Nigeria: Taraba	Africa	E1 passage(s)	1707
CY014489.1	A/Indonesia/CDC669P/2006	H5N1	2006-06-13	Homo sapiens		Indonesia	Asia	E1 passage(s)	1707
CY203645.1	A/mallard/Maryland/06OS471/2006	H5N2	2006-06-19	Anas platyrhynchos		USA: MD	North America	egg 1 passage(s)	1742
CY048227.1	A/duck/Nigeria/08RS848-20/2006	H5N1	2006-06-25	Anatidae		Nigeria: Taraba	Africa	E1 passage(s)	1707
CY048243.1	A/chicken/Nigeria/08RS848-22/2006(H5N1)	H5N1	2006-06-28	Gallus gallus		Nigeria: Lagos	Africa	E1 passage(s)	1707
EU124155.1	A/Chicken/West Java/TASIK1/2006	H5N1	2006-07-01	Gallus gallus		Indonesia	Asia		1729
CY048251.1	A/chicken/Nigeria/08RS848-24/2006(H5N1)	H5N1	2006-07-08	Gallus gallus		Nigeria: Lagos	Africa	E1 passage(s)	1707
EU871936.1	A/common gull/Chany/P/2006	H5N1	2006-07-18	Larus canus		Russia	Europe		1771
CY048275.1	A/chicken/Nigeria/08RS848-33/2006(H5N1)	H5N1	2006-07-19	Gallus gallus		Nigeria: Taraba	Africa	E1 passage(s)	1707
EU124167.1	A/Muscovy Duck/Vietnam/Ben Tre 342/2006	H5N1	2006-07-21	Cairina moschata		Viet Nam	Asia		1736
EU124151.1	A/Chicken/West Java/TASIKSOL/2006	H5N1	2006-08-01	Gallus gallus		Indonesia	Asia		1715
EU124277.1	A/chicken/West Java/TASIKSOB/2006	H5N1	2006-08-01	Gallus gallus		Indonesia	Asia		1735
CY190099.1	A/environment/Maryland/06OS1166/2006	H5N1	2006-08-02			USA: Maryland	North America	Egg 1 passage(s)	1742
CY190131.1	A/environment/Maryland/06OS1175/2006	H5N1	2006-08-02			USA: Maryland	North America	Egg 1 passage(s)	1742
CY190155.1	A/environment/Maryland/06OS1181/2006	H5N1	2006-08-02			USA: Maryland	North America	Egg 1 passage(s)	1742
CY190163.1	A/environment/Maryland/06OS1186/2006	H5N1	2006-08-02			USA: Maryland	North America	Egg 1 passage(s)	1742
CY190179.1	A/environment/Maryland/06OS1190/2006	H5N1	2006-08-02			USA: Maryland	North America	Egg 1 passage(s)	1742
CY190195.1	A/environment/Maryland/06OS1194/2006	H5N1	2006-08-02			USA: Maryland	North America	Egg 1 passage(s)	1742
CY190203.1	A/environment/Maryland/06OS1195/2006	H5N1	2006-08-02			USA: Maryland	North America	Egg 1 passage(s)	1742
JF758668.1	A/environment/Maryland/1149/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
JF758670.1	A/environment/Maryland/1152/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
JF758697.1	A/environment/Maryland/1156/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
JF758702.1	A/environment/Maryland/1158/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
JF758715.1	A/environment/Maryland/1159/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
JF758723.1	A/environment/Maryland/1162/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
JF758727.1	A/environment/Maryland/1165/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
JF758734.1	A/environment/Maryland/1170/2006	H5N1	2006-08-02			USA: Maryland	North America		1695
CY048283.1	A/chicken/Nigeria/08RS848-35/2006(H5N1)	H5N1	2006-08-09	Gallus gallus		Nigeria: Lagos	Africa	E1 passage(s)	1698
MG668931.1	A/Thailand/NBL1/2006	H5N1	2006-08-10	Homo sapiens		Thailand: Nong Bua Lam Phu	Asia		1707
MG668907.1	A/Thailand/NBL1/2006	H5N1	2006-08-10	Homo sapiens		Thailand: Nong Bua Lam Phu	Asia		1707
GQ466176.1	A/Thailand/NBL1/2006	H5N1	2006-08-10	Homo sapiens		Thailand	Asia		1718
CY095474.1	A/mallard/British Columbia/18311/2006	H5N2	2006-08-18	Anas platyrhynchos		Canada: British Columbia	North America	Egg 1 passage(s)	1724
HM849028.1	A/mallard/PT/29497-10/2006	H5N2	2006-08-24	Anas platyrhynchos		Portugal: Aveiro	Europe		1710
EU557516.1	A/northern pintail/Alaska/44184-144/2006	H5N9	2006-08-25	Anas acuta		USA: AK	North America		1695
GU183454.1	A/duck/Jakarta/Slmt306/2006	H5N1	2006-09	Anatidae		Indonesia	Asia		1704
CY048291.1	A/chicken/Nigeria/08RS848-38/2006(H5N1)	H5N1	2006-09-02	Gallus gallus		Nigeria: Lagos	Africa	E1 passage(s)	1707
KC790045.1	A/mallard/QC/2323-25/2006	H5N2	2006-09-10	Anas platyrhynchos		Canada: Quebec	North America		1695
KX977669.1	A/mallard duck/Netherlands/12/2006	H5N2	2006-09-16	Anas platyrhynchos		Netherlands	Europe		1767
KC790085.1	A/duck/AB/329/2006	H5N9	2006-09-18	Anatidae		Canada: Alberta	North America		1695
MF682846.1	A/mallard duck/Netherlands/63/2006	H5N2	2006-09-22	Anas platyrhynchos		Netherlands	Europe		1767
GQ122399.1	A/chicken/Banten/UT6025/2006	H5N1	2006-10	Gallus gallus		Indonesia: Banten	Asia		1707
GU046735.1	A/mallard/Bavaria/36/2006	H5N3	2006-10	Anas platyrhynchos		Germany	Europe		1695
CY048323.1	A/chicken/Nigeria/08RS848-41/2006(H5N1)	H5N1	2006-10-10	Gallus gallus		Nigeria: Anambra	Africa	E1 passage(s)	1707
CY017688.1	A/Indonesia/CDC887/2006	H5N1	2006-10-14	Homo sapiens		Indonesia	Asia	E1 passage(s)	1780
GU361198.1	A/aquatic bird/Korea/w113/2006	H5N2	2006-11	Aves		South Korea	Asia		1695
GU361202.1	A/aquatic bird/Korea/w125/2006	H5N2	2006-11	Aves		South Korea	Asia		1695
GQ122547.1	A/chicken/East Java/UT6017/2006	H5N1	2006-11	Gallus gallus		Indonesia: East Java	Asia		1707
CY076253.1	A/northern shoveler/Washington/44249-645/2006	H5N2	2006-11-04	Spatula clypeata		USA: Clark County, Washington	North America	Egg 2 passage(s)	1726
CY017646.1	A/Indonesia/CDC938E/2006	H5N1	2006-11-10	Homo sapiens		Indonesia	Asia	E1 passage(s)	1781
EU372947.2	A/chicken/Egypt/06959-NLQP/2006	H5N1	2006-11-27	Gallus gallus		Egypt: Gharbia	Africa		1780
CY048339.1	A/chicken/Nigeria/08RS848-44/2006(H5N1)	H5N1	2006-11-28	Gallus gallus		Nigeria: Edo	Africa	E1 passage(s)	1707
CY020693.1	A/turkey/Ivory Coast/4372-2/2006	H5N1	2006-12	Meleagris gallopavo		Cote d'Ivoire	Africa	Egg 1 passage(s)	1744
CY020709.1	A/turkey/Ivory Coast/4372-4/2006	H5N1	2006-12	Meleagris gallopavo		Cote d'Ivoire	Africa	Egg 1 passage(s)	1744
CY048347.1	A/chicken/Nigeria/08RS848-45/2006(H5N1)	H5N1	2006-12-02	Gallus gallus		Nigeria: Kwara	Africa	E1 passage(s)	1707
CY048371.1	A/chicken/Nigeria/08RS848-50/2006(H5N1)	H5N1	2006-12-13	Gallus gallus		Nigeria: Kaduna	Africa	E1 passage(s)	1707
KC790093.1	A/duck/BC/8038/2006	H5N2	2006-12-16	Anatidae		Canada: British Columbia	North America		1695
KC790061.1	A/goose/MB/428/2006	H5N2	2006-12-18	Anatidae		Canada: Manitoba	North America		1701
EU124164.1	A/Duck/Vietnam/Ca Mau498A/2006	H5N1	2006-12-19	Anatidae		Viet Nam	Asia		1728
JX420206.1	A/chicken/Ca Mau/1180/2006	H5N1	2006-12-27	Gallus gallus		Viet Nam	Asia		1779
JX420134.1	A/Muscovy duck/Ca Mau/1181/2006	H5N1	2006-12-29	Cairina moschata		Viet Nam	Asia		1707
FJ784843.1	A/chicken/Henan/1362/2006	H5N1	2006-12-30	Gallus gallus		China	Asia		1704
AB497013.1	A/duck/Egypt/D1Li4/2007	H5N1	2007-01			Egypt:Damanhur	Africa		1707
AB497011.1	A/duck/Egypt/D1Tr335/2007	H5N1	2007-01			Egypt:Damanhur	Africa		1707
AB497016.1	A/duck/Egypt/D3Lu6/2007	H5N1	2007-01			Egypt:Damanhur	Africa		1707
MH236436.1	A/mallard duck/New Zealand/07.106.17C/2007	H5N7	2007-01	Anas platyrhynchos		New Zealand	Oceania		1743
MH230000.1	A/mallard duck/New Zealand/NZ0700316-53c/2007	H5N2	2007-01	Anas platyrhynchos		New Zealand	Oceania		1743
GU046782.1	A/swan/Bavaria/15/2007	H5N2	2007-01	Anatidae		Germany	Europe		1695
CY048395.1	A/goose/Nigeria/08RS848-56/2007(H5N1)	H5N1	2007-01-11	Anatidae		Nigeria: Katsina	Africa	E1 passage(s)	1707
FJ667188.1	A/chicken/Domodedovo/MK/2007	H5N1	2007-01-14	Gallus gallus		Russia: Moscow, Domodedovo	Europe		1754
CY075997.1	A/gadwall/California/44287-137/2007	H5N3	2007-01-24	Mareca strepera		USA: Colusa County, California	North America	Egg 2 passage(s)	1726
CY076880.1	A/cinnamon teal/California/JN1504/2007	H5N3	2007-02-03	Spatula cyanoptera		USA: Gridley, CA	North America	egg 2 passage(s)	1742
CY048475.1	A/chicken/Nigeria/08RS848-70/2007(H5N1)	H5N1	2007-02-16	Gallus gallus		Nigeria: Kaduna	Africa	E1 passage(s)	1707
CY048483.1	A/chicken/Nigeria/08RS848-71/2007(H5N1)	H5N1	2007-02-16	Gallus gallus		Nigeria: Kaduna	Africa	E1 passage(s)	1707
