accession	strain	subtype	date	host_specific	host_tax_id	host_general	host_order	location	region	passage_history	length
AY296064.2	A/chukar/MN/14591-7/1998	H5N2	1998	Alectoris chukar	9078	avian	Galliformes	USA	North America		1727
MZ019501.1	A/chicken/Belgium/150/1999	H5N2	1999	Gallus gallus	9031	avian	Galliformes	Belgium	Europe		1695
AY585363.1	A/duck/Guangxi/07/1999	H5N1	1999	Anatidae	8830	avian	Anseriformes				1708
GU052019.1	A/goose/Hong Kong/437-6/1999	H5N1	1999	Anatidae	8830	avian	Anseriformes	Hong Kong	Asia		1754
GU052027.1	A/goose/Hong Kong/437-8/1999	H5N1	1999	Anatidae	8830	avian	Anseriformes	Hong Kong	Asia		1754
FJ750571.1	A/chicken/Belgium/150VB/1999	H5N2	1999-06-29	Gallus gallus	9031	avian	Galliformes	Belgium: Provincie Limburg	Europe		1695
AY059481.1	A/Duck/Hong Kong/2986.1/2000(H5N1)	H5N1	2000						Asia		1704
AY059476.1	A/Duck/Hong Kong/ww381/2000(H5N1)	H5N1	2000						Asia		1704
AY059477.1	A/Duck/Hong Kong/ww382/2000(H5N1)	H5N1	2000						Asia		1704
AY059478.1	A/Duck/Hong Kong/ww461/2000(H5N1)	H5N1	2000						Asia		1704
AY059479.1	A/Duck/Hong Kong/ww487/2000(H5N1)	H5N1	2000						Asia		1704
GU052073.1	A/Goose/Hong Kong/3014.5/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes	Hong Kong	Asia		1754
AY059482.1	A/Goose/Hong Kong/3014.8/2000(H5N1)	H5N1	2000						Asia		1704
AY059474.1	A/Goose/Hong Kong/ww26/2000(H5N1)	H5N1	2000						Asia		1704
AY059475.1	A/Goose/Hong Kong/ww28/2000(H5N1)	H5N1	2000						Asia		1704
AY059480.1	A/Goose/Hong Kong/ww491/2000(H5N1)	H5N1	2000						Asia		1704
DQ201829.1	A/Goose/Huadong/1/2000	H5N1	2000								1779
OK205587.1	A/chicken/Guatemala/45511-1/2000	H5N2	2000	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1767
OK205595.1	A/chicken/Guatemala/45511-2/2000	H5N2	2000	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1767
OK205603.1	A/chicken/Guatemala/45511-3/2000	H5N2	2000	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1767
OK205611.1	A/chicken/Guatemala/45511-4/2000	H5N2	2000	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1767
GU052795.1	A/chicken/Guatemala/45511-5/2000	H5N2	2000	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1742
OK205619.1	A/chicken/Guatemala/45511-5/2000	H5N2	2000	Gallus gallus	9031	avian	Galliformes	Guatemala	North America		1767
AY585359.1	A/duck/Fujian/19/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes				1707
AY585373.1	A/duck/Guangdong/07/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes				1708
AY585361.1	A/duck/Guangdong/12/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes				1708
AY585374.1	A/duck/Guangdong/40/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes				1708
GU052065.1	A/duck/Hong Kong/2986.1-2/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes	Hong Kong	Asia		1754
AY585371.1	A/duck/Zhejiang/11/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes				1708
AY585377.1	A/duck/Zhejiang/52/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes				1708
GU052050.1	A/goose/Hong Kong/1032.6/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes	Hong Kong	Asia		1754
GU052057.1	A/goose/Hong Kong/1032.9/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes	Hong Kong	Asia		1754
GU052042.1	A/goose/Hong Kong/485.3/2000	H5N1	2000	Anatidae	8830	avian	Anseriformes	Hong Kong	Asia		1754
FJ357069.1	A/mallard/MN/1/2000	H5N2	2000	Anas platyrhynchos	8839	avian	Anseriformes	USA	North America		1742
CY139689.1	A/mallard/Minnesota/346250/2000	H5N2	2000	Anas platyrhynchos	8839	avian	Anseriformes	USA: Minnesota	North America	E2 passage(s)	1742
CY139673.1	A/mallard/Minnesota/355779/2000	H5N2	2000	Anas platyrhynchos	8839	avian	Anseriformes	USA: Minnesota	North America	E2 passage(s)	1742
CY139837.1	A/mallard/Minnesota/355811/2000	H5N5	2000	Anas platyrhynchos	8839	avian	Anseriformes	USA: Minnesota	North America	E2 passage(s)	1697
EU182303.1		H5N2	2000	Aves	8782	avian		USA	North America		1712
AY296077.2	A/Duck/NJ/117228-7/2001	H5N2	2001	Anatidae	8830	avian	Anseriformes	USA	North America		1722
GU052089.1	A/Hong Kong/378.1/2001	H5N1	2001	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1754
AY747617.1	A/Swine/Fujian/F1/2001	H5N1	2001	Sus scrofa	9823	non-human mammal	Artiodactyla	China	Asia		1779
OK205531.1	A/chicken/El Salvador/102711-1/2001	H5N2	2001	Gallus gallus	9031	avian	Galliformes	El Salvador	North America		1767
OK205539.1	A/chicken/El Salvador/102711-2/2001	H5N2	2001	Gallus gallus	9031	avian	Galliformes	El Salvador	North America		1767
AY585372.1	A/duck/Fujian/17/2001	H5N1	2001	Anatidae	8830	avian	Anseriformes				1708
AY585360.1	A/duck/Guangdong/01/2001	H5N1	2001	Anatidae	8830	avian	Anseriformes				1708
AY585364.1	A/duck/Guangxi/22/2001	H5N1	2001	Anatidae	8830	avian	Anseriformes				1708
AY585365.2	A/duck/Guangxi/35/2001	H5N1	2001	Anatidae	8830	avian	Anseriformes				1707
AY585375.1	A/duck/Guangxi/50/2001	H5N1	2001	Anatidae	8830	avian	Anseriformes				1708
DQ997513.1	A/duck/Guangxi/xa/2001	H5N1	2001					China	Asia		1779
