accession	strain	subtype	date	host_specific	host_tax_id	host_general	host_order	location	region	passage_history	length
CY020717.1	A/mallard/Ohio/48/1986	H3N2	1986-10-20	Anas platyrhynchos	8839	avian	Anseriformes	USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1741
CY021429.1	A/mallard/Ohio/181/1986	H3N1	1986-11-06	Anas platyrhynchos	8839	avian	Anseriformes	USA: OH	North America	Egg 2/limiting dilution in egg 1 passage(s)	1723
CY016395.1	A/mallard/Ohio/264/1986	H3N8	1986-11-08	Anas platyrhynchos	8839	avian	Anseriformes	USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1731
CY101430.1	A/mallard/Alberta/16/1987	H3N8	1987-08-04	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	E2 passage(s)	1740
CY101446.1	A/blue-winged teal/Alberta/130/1987	H3N8	1987-08-12	Spatula discors	75842	avian	Anseriformes	Canada: Alberta	North America	EXE1 passage(s)	1740
CY101438.1	A/pintail/Alberta/128/1987	H3N8	1987-08-12	Anas acuta	28680	avian	Anseriformes	Canada: Alberta	North America	EXE1 passage(s)	1740
CY101454.1	A/mallard/Alberta/140/1987	H3N8	1987-08-13	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	EXE1 passage(s)	1740
CY019197.1	A/pintail/Ohio/339/1987	H3N8	1987-10-19	Anas acuta	28680	avian	Anseriformes	USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1724
CY016140.1	A/pintail/Ohio/454/1987	H3N8	1987-10-23	Anas acuta	28680	avian	Anseriformes	USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1731
CY035198.1	A/Siena/3/1988	H3N2	1988-02-05	Homo sapiens	9606	human	Primates	Italy: Siena	Europe	Eggs passage(s)	1724
CY113389.1	A/Netherlands/450/1988	H3N2	1988-03-01	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK1 passage(s)	1731
MK902667.1	A/Bucefala clangula/Buryatia/652/1988	H3N2	1988-04-08	Anas platyrhynchos	8839	avian	Anseriformes	Russia: Barguzin district, Buryatia	Europe		1743
MK907683.1	A/duck/Buryatia/664-5465/1988	H3N1	1988-08	Anas platyrhynchos	8839	avian	Anseriformes	Russia: settlement Shamanka, Kurumkan district, Buryatia	Europe		1765
CY005942.1	A/mallard/ALB/394/1988	H3N3	1988-09-04	Aves	8782	avian		Canada: Alberta	North America		1765
CY101563.1	A/mallard/Alberta/378/1988	H3N8	1988-09-14	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P2 passage(s)	1740
CY101603.1	A/mallard/Alberta/20/1989	H3N8	1989-08-02	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P2 passage(s)	1740
CY101081.1	A/blue-winged teal/Alberta/134/1989	H3N6	1989-08-22	Spatula discors	75842	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1740
CY113421.1	A/Netherlands/620/1989	H3N2	1989-11-27	Homo sapiens	9606	human	Primates	Netherlands	Europe	xtMK1 MDCK1 passage(s)	1731
CY113429.1	A/Netherlands/650/1989	H3N2	1989-12-13	Homo sapiens	9606	human	Primates	Netherlands	Europe	MDCK1 passage(s)	1731
CY113437.1	A/Netherlands/738/1989	H3N2	1989-12-17	Homo sapiens	9606	human	Primates	Netherlands	Europe	tMK2 MDCK1 passage(s)	1735
CY035206.1	A/Siena/4/1990	H3N2	1990-01-08	Homo sapiens	9606	human	Primates	Italy: Siena	Europe	Eggs passage(s)	1715
CY035214.1	A/Siena/10/1990	H3N2	1990-01-18	Homo sapiens	9606	human	Primates	Italy: Siena	Europe	Eggs passage(s)	1715
CY101619.1	A/herring gull/New Jersey/159/1990	H3N6	1990-05-26	Larus argentatus	35669	avian	Charadriiformes	USA: New Jersey	North America	P2 passage(s)	1740
CY101627.1	A/laughing gull/New Jersey/180/1990	H3N6	1990-05-26	Leucophaeus atricilla	126679	avian	Charadriiformes	USA: New Jersey	North America	P2 passage(s)	1740
CY101105.1	A/ruddy turnstone/New Jersey/138/1990	H3N6	1990-05-26	Arenaria interpres	54971	avian	Charadriiformes	USA: New Jersey	North America	EX passage(s)	1740
CY101635.1	A/semi-palmated sandpiper/New Jersey/253/1990	H3N6	1990-05-27	Calidris pusilla	279961	avian	Charadriiformes	USA: New Jersey	North America	P1 passage(s)	1740
CY116315.1	A/swine/England/87842/1990	H3N2	1990-08-06	Sus scrofa	9823	non-human mammal	Artiodactyla	United Kingdom: England	Europe		1701
CY101651.1	A/mallard/Alberta/220/1990	H3N8	1990-08-28	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	ND passage(s)	1740
CY017709.1	A/mallard/Ohio/156/1990	H3N6	1990-10-18	Anas platyrhynchos	8839	avian	Anseriformes	USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1731
CY101683.1	A/mallard/Alberta/32/1991	H3N8	1991-08-09	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P2 passage(s)	1740
CY101699.1	A/mallard/Alberta/60/1991	H3N8	1991-08-09	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	E3 passage(s)	1740
CY101707.1	A/mallard/Alberta/61/1991	H3N8	1991-08-09	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	E3 passage(s)	1740
CY101715.1	A/mallard/Alberta/62/1991	H3N8	1991-08-09	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	E3 passage(s)	1740
CY101723.1	A/mallard/Alberta/64/1991	H3N8	1991-08-09	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1740
CY101731.1	A/pintail/Alberta/81/1991	H3N8	1991-08-09	Anas acuta	28680	avian	Anseriformes	Canada: Alberta	North America	E3 passage(s)	1740
CY014571.1	A/blue-winged teal/Alberta/120/1991	H3N8	1991-08-10	Aves	8782	avian		Canada: Alberta	North America		1768
CY101747.1	A/mallard/Alberta/109/1991	H3N8	1991-08-10	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1734
CY101755.1	A/mallard/Alberta/115/1991	H3N8	1991-08-10	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P2 passage(s)	1743
CY101739.1	A/pintail/Alberta/105/1991	H3N8	1991-08-10	Anas acuta	28680	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1743
CY101763.1	A/pintail/Alberta/118/1991	H3N8	1991-08-10	Anas acuta	28680	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1734
CY101771.1	A/mallard/Alberta/129/1991	H3N6	1991-08-26	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P2 passage(s)	1740
CY113557.1	A/England/260/1991	H3N2	1991-09-15	Homo sapiens	9606	human	Primates	United Kingdom: England	Europe	tMK2 MDCK1 passage(s)	1732
CY112444.1	A/Geneva/6447/1991	H3N2	1991-11-27	Homo sapiens	9606	human	Primates	Switzerland: Geneva	Europe	tMK4 MDCK1 passage(s)	1732
CY113789.1	A/Paris/325/1991	H3N2	1991-12-01	Homo sapiens	9606	human	Primates	France: Paris	Europe	xtMK1 MDCK1 passage(s)	1731
CY113797.1	A/Paris/407/1991	H3N2	1991-12-01	Homo sapiens	9606	human	Primates	France: Paris	Europe	xtMK1 MDCK1 passage(s)	1732
CY112500.2	A/Paris/490/1991	H3N2	1991-12-01	Homo sapiens	9606	human	Primates	France: Paris	Europe	xtMK1 MDCK1 passage(s)	1732
CY113837.2	A/Paris/512/1991	H3N2	1991-12-01	Homo sapiens	9606	human	Primates	France: Paris	Europe	xtMK1 MDCK1 passage(s)	1731
CY113573.1	A/Lyon/1149/1991	H3N2	1991-12-09	Homo sapiens	9606	human	Primates	France: Lyon	Europe	xtMK1 MDCK1 passage(s)	1732
CY113605.1	A/Lyon/1337/1991	H3N2	1991-12-16	Homo sapiens	9606	human	Primates	France: Lyon	Europe	xtMK1 MDCK1 passage(s)	1731
CY113613.1	A/Lyon/1373/1991	H3N2	1991-12-16	Homo sapiens	9606	human	Primates	France: Lyon	Europe	xtMK1 MDCK1 passage(s)	1731
CY112452.1	A/Stockholm/20/1991	H3N2	1991-12-17	Homo sapiens	9606	human	Primates	Sweden: Stockholm	Europe	xtMK1 MDCK1 passage(s)	1735
CY113621.2	A/Lyon/1594/1991	H3N2	1991-12-26	Homo sapiens	9606	human	Primates	France: Lyon	Europe	xtMK1 MDCK1 passage(s)	1731
CY113773.1	A/Oviedo/31/1991	H3N2	1991-12-28	Homo sapiens	9606	human	Primates	Spain: Oviedo	Europe	xtMK1 MDCK1 passage(s)	1735
CY113861.1	A/Paris/583/1992	H3N2	1992-01-01	Homo sapiens	9606	human	Primates	France: Paris	Europe	xtMK1 MDCK1 passage(s)	1731
CY112468.2	A/Enschede/1285/1992	H3N2	1992-01-09	Homo sapiens	9606	human	Primates	Netherlands: Enschede	Europe	tMK2 MDCK1 passage(s)	1732
CY113741.1	A/Netherlands/935/1992	H3N2	1992-01-10	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK1 passage(s)	1734
CY113685.1	A/Geneva/5113/1992	H3N2	1992-01-15	Homo sapiens	9606	human	Primates	Switzerland: Geneva	Europe	MDCK3 passage(s)	1731
CY112508.1	A/Rotterdam/100540/1992	H3N2	1992-01-26	Homo sapiens	9606	human	Primates	Netherlands: Rotterdam	Europe	xtMK1 MDCK1 passage(s)	1732
CY113733.1	A/Netherlands/823/1992	H3N2	1992-02-03	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK2 passage(s)	1732
CY113765.1	A/Nijmegen/3129/1992	H3N2	1992-02-07	Homo sapiens	9606	human	Primates	Netherlands: Nijmegen	Europe	xtMK1 MDCK1 passage(s)	1732
CY113901.1	A/Stockholm/7/1992	H3N2	1992-02-14	Homo sapiens	9606	human	Primates	Sweden: Stockholm	Europe	tMK4 MDCK1 passage(s)	1731
CY112524.1	A/South Austalia/8/1992	H3N2	1992-03-05	Homo sapiens	9606	human	Primates	Australia: South Austalia	Oceania	xMDCK1 passage(s)	1731
CY113885.1	A/South Austalia/23/1992	H3N2	1992-03-31	Homo sapiens	9606	human	Primates	Australia: South Austalia	Oceania	xtMK1 MDCK2 passage(s)	1731
CY113693.1	A/Houston/56798/1992	H3N2	1992-04-03	Homo sapiens	9606	human	Primates	USA: Houston	North America	xtMK1 MDCK1 passage(s)	1738
CY113701.1	A/Houston/56829/1992	H3N2	1992-04-03	Homo sapiens	9606	human	Primates	USA: Houston	North America	xtMK1 MDCK1 passage(s)	1731
CY113709.1	A/Houston/56941/1992	H3N2	1992-04-03	Homo sapiens	9606	human	Primates	USA: Houston	North America	xtMK1 MDCK1 passage(s)	1731
CY113893.1	A/South Austalia/27/1992	H3N2	1992-04-06	Homo sapiens	9606	human	Primates	Australia: South Austalia	Oceania	xtMK1 MDCK1 passage(s)	1731
MH643910.1	A/equine/Quillota/2/1992	H3N8	1992-05-04	Equus sp.	46122	non-human mammal	Perissodactyla	Chile	South America		1762
CY112540.1	A/Victoria/33/1992	H3N2	1992-06-29	Homo sapiens	9606	human	Primates	Australia: Victoria	Oceania	xtMK2 MDCK1 passage(s)	1736
CY113949.1	A/Victoria/68/1992	H3N2	1992-07-17	Homo sapiens	9606	human	Primates	Australia: Victoria	Oceania	tMK4 MDCK1 passage(s)	1731
CY101779.1	A/mallard/Alberta/35/1992	H3N6	1992-08-11	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1734
CY101798.1	A/American wigeon/Alberta/215/1992	H3N8	1992-08-24	Mareca americana	75832	avian	Anseriformes	Canada: Alberta	North America	E2 passage(s)	1734
CY101806.1	A/pintail/Alberta/232/1992	H3N8	1992-08-24	Anas acuta	28680	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1734
CY113933.1	A/Umea/1982/1992	H3N2	1992-10-01	Homo sapiens	9606	human	Primates	Sweden: Umea	Europe	xtMK1 MDCK1 passage(s)	1732
CY113909.1	A/Stockholm/12/1992	H3N2	1992-11-01	Homo sapiens	9606	human	Primates	Sweden: Stockholm	Europe	xtMK1 MDCK1 passage(s)	1732
CY113941.1	A/Umea/2000/1992	H3N2	1992-11-01	Homo sapiens	9606	human	Primates	Sweden: Umea	Europe	xtMK2 MDCK1 passage(s)	1731
CY113917.1	A/Stockholm/13/1992	H3N2	1992-12-01	Homo sapiens	9606	human	Primates	Sweden: Stockholm	Europe	xtMK1 MDCK1 passage(s)	1736
CY006016.1	A/duck/Nanchang/1681/1992	H3N8	1992-12-01	Aves	8782	avian		China: Nanchang	Asia		1764
CY112589.1	A/Netherlands/17/1993	H3N2	1993-01-01	Homo sapiens	9606	human	Primates	Netherlands	Europe	tMK2 MDCK1 passage(s)	1732
CY113445.1	A/Singapore/3/1993	H3N2	1993-01-06	Homo sapiens	9606	human	Primates	Singapore	Asia	xMDCK1 passage(s)	1732
CY012120.1	A/New York/756/1993	H3N2	1993-02-02	Homo sapiens	9606	human	Primates	USA: Albany county, NY	North America	RhMK 2 passage(s)	1725
CY012160.1	A/New York/762/1993	H3N2	1993-02-04	Homo sapiens	9606	human	Primates	USA: Broome county, NY	North America	Unknown 1 RhMK 1 passage(s)	1727
CY013741.1	A/New York/795/1993	H3N2	1993-02-04	Homo sapiens	9606	human	Primates	USA: Broome county, NY	North America	Unknown 1 RhMK 2 passage(s)	1721
CY012144.1	A/New York/760/1993	H3N2	1993-02-09	Homo sapiens	9606	human	Primates	USA: Suffolk county, NY	North America	RhMK 2 passage(s)	1723
CY114045.1	A/Netherlands/101/1993	H3N2	1993-02-15	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK1 passage(s)	1732
CY014151.1	A/New York/796/1993	H3N2	1993-02-18	Homo sapiens	9606	human	Primates	USA: Albany county, NY	North America	RhMK 1 passage(s)	1721
CY112605.1	A/Netherlands/179/1993	H3N2	1993-02-26	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK3 passage(s)	1732
CY013669.1	A/New York/780/1993	H3N2	1993-03-02	Homo sapiens	9606	human	Primates	USA: Albany county, NY	North America	RhMK 2 passage(s)	1724
CY114061.1	A/Netherlands/165/1993	H3N2	1993-03-05	Homo sapiens	9606	human	Primates	Netherlands	Europe	tMK2 MDCK1 passage(s)	1731
CY013621.1	A/New York/768/1993	H3N2	1993-03-09	Homo sapiens	9606	human	Primates	USA: Schenectady county, NY	North America	RhMK 1 passage(s)	1725
CY013176.1	A/New York/755/1993	H3N2	1993-03-12	Homo sapiens	9606	human	Primates	USA: Monroe county, NY	North America	RhMK 2 passage(s)	1724
KX815359.1	A/equine/Argentina/E37-18/1993	H3N8	1993-03-30	Equus caballus	9796	non-human mammal	Perissodactyla	Argentina	South America		1698
KX815360.1	A/equine/Argentina/E41-2/1993	H3N8	1993-03-31	Equus caballus	9796	non-human mammal	Perissodactyla	Argentina	South America		1698
CY013200.1	A/New York/783/1993	H3N2	1993-04-01	Homo sapiens	9606	human	Primates	USA: Erie county, NY	North America	RhMK 2 passage(s)	1723
CY013701.1	A/New York/789/1993	H3N2	1993-04-05	Homo sapiens	9606	human	Primates	USA: Onondaga county, NY	North America	RhMK 2 passage(s)	1721
CY116095.1	A/swine/England/285393/1993	H3N2	1993-04-21	Sus scrofa	9823	non-human mammal	Artiodactyla	United Kingdom: England	Europe		1701
CY101824.1	A/mallard/Alberta/54/1993	H3N9	1993-08-17	Anas platyrhynchos	8839	avian	Anseriformes	Canada: Alberta	North America	P2 passage(s)	1740
CY116135.1	A/swine/England/375017/1993	H3N2	1993-10-24	Sus scrofa	9823	non-human mammal	Artiodactyla	United Kingdom: England	Europe		1701
CY113989.1	A/Lyon/1815/1993	H3N2	1993-11-30	Homo sapiens	9606	human	Primates	France: Lyon	Europe	MDCK2 passage(s)	1734
CY114077.1	A/Netherlands/372/1993	H3N2	1993-12-01	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK1 passage(s)	1731
CY112556.1	A/Lyon/22686/1993	H3N2	1993-12-02	Homo sapiens	9606	human	Primates	France: Lyon	Europe	MDCK2 passage(s)	1732
CY112621.1	A/Netherlands/371/1993	H3N2	1993-12-02	Homo sapiens	9606	human	Primates	Netherlands	Europe	MDCK1 passage(s)	1731
CY114069.1	A/Netherlands/357/1993	H3N2	1993-12-06	Homo sapiens	9606	human	Primates	Netherlands	Europe	MDCK2 passage(s)	1731
CY112629.1	A/Netherlands/399/1993	H3N2	1993-12-09	Homo sapiens	9606	human	Primates	Netherlands	Europe	MDCK2 passage(s)	1731
CY112661.1	A/Singapore/19/1993	H3N2	1993-12-21	Homo sapiens	9606	human	Primates	Singapore	Asia	tMK1 MDCK1 passage(s)	1731
CY016427.1	A/New York/706/1993	H3N2	1993-12-30	Homo sapiens	9606	human	Primates	USA: Suffolk County, NY	North America	RhMK 2 passage(s)	1717
CY012944.1	A/New York/723/1994	H3N2	1994-01-02	Homo sapiens	9606	human	Primates	USA: Broome County, NY	North America	RhMK 2 passage(s)	1713
CY114157.1	A/Netherlands/18/1994	H3N2	1994-01-05	Homo sapiens	9606	human	Primates	Netherlands	Europe	xMDCK1 passage(s)	1732
CY013351.1	A/New York/743/1994	H3N2	1994-01-07	Homo sapiens	9606	human	Primates	USA: Schenectady County, NY	North America	RhMK 1 passage(s)	1715
CY013000.1	A/New York/740/1994	H3N2	1994-01-15	Homo sapiens	9606	human	Primates	USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1721
CY012952.1	A/New York/724/1994	H3N2	1994-01-27	Homo sapiens	9606	human	Primates	USA: Broome County, NY	North America	RhMK 2 passage(s)	1721
CY012528.1	A/New York/705/1994	H3N2	1994-01-31	Homo sapiens	9606	human	Primates	USA: Schenectady County, NY	North America	RhMK 1 passage(s)	1720
CY011936.1	A/New York/728/1994	H3N2	1994-02-01	Homo sapiens	9606	human	Primates	USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1721
CY116175.1	A/swine/England/425069/1994	H3N2	1994-02-07	Sus scrofa	9823	non-human mammal	Artiodactyla	United Kingdom: England	Europe		1701
CY012544.1	A/New York/710/1994	H3N2	1994-02-09	Homo sapiens	9606	human	Primates	USA: Broome County, NY	North America	RhMK 2 passage(s)	1721
CY012536.1	A/New York/707/1994	H3N2	1994-02-10	Homo sapiens	9606	human	Primates	USA: Suffolk County, NY	North America	Unknown 1 RhMK 1 passage(s)	1713
CY012272.1	A/New York/729/1994	H3N2	1994-02-25	Homo sapiens	9606	human	Primates	USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1721
CY101973.1	A/ruddy turnstone/Delaware Bay/158/1994	H3N8	1994-05-22	Arenaria interpres	54971	avian	Charadriiformes	USA: New Jersey	North America	P1 passage(s)	1734
CY102100.1	A/red knot/Delaware Bay/252/1994	H3N2	1994-05-23	Calidris canutus	227173	avian	Charadriiformes	USA: Delaware Bay, New Jersey	North America	EX passage(s)	1734
KX815361.1	A/equine/Argentina/E131/1994	H3N8	1994-05-24	Equus caballus	9796	non-human mammal	Perissodactyla	Argentina	South America		1698
CY112709.1	A/Hong Kong/1/1994	H3N2	1994-06-01	Homo sapiens	9606	human	Primates	Hong Kong	Asia	xMDCK1 passage(s)	1732
CY112717.1	A/Hong Kong/2/1994	H3N2	1994-06-01	Homo sapiens	9606	human	Primates	Hong Kong	Asia	xMDCK1 passage(s)	1732
CY112749.1	A/South Austalia/15/1994	H3N2	1994-06-03	Homo sapiens	9606	human	Primates	Australia: South Austalia	Oceania	xMDCK1 passage(s)	1731
CY112757.1	A/South Austalia/25/1994	H3N2	1994-06-09	Homo sapiens	9606	human	Primates	Australia: South Austalia	Oceania	xMDCK1 passage(s)	1731
CY114149.1	A/Hong Kong/56/1994	H3N2	1994-08-02	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK2 passage(s)	1732
CY012224.1	A/New York/657/1994	H3N2	1994-12-02	Homo sapiens	9606	human	Primates	USA: Suffolk County, NY	North America	RhMK 1 passage(s)	1720
CY114221.1	A/Netherlands/1/1995	H3N2	1995-01-11	Homo sapiens	9606	human	Primates	Netherlands	Europe	tMK2 MDCK1 passage(s)	1732
CY012920.1	A/New York/690/1995	H3N2	1995-01-18	Homo sapiens	9606	human	Primates	USA: Renesselaer County, NY	North America	RhMK 1 passage(s)	1721
CY011320.1	A/New York/692/1995	H3N2	1995-01-18	Homo sapiens	9606	human	Primates	USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1721
CY012896.1	A/New York/673/1995	H3N2	1995-01-20	Homo sapiens	9606	human	Primates	USA: Nassau County, NY	North America	RhMK 1 passage(s)	1721
CY114197.1	A/Hong Kong/3/1995	H3N2	1995-01-24	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK2 passage(s)	1731
CY011368.1	A/New York/703/1995	H3N2	1995-01-24	Homo sapiens	9606	human	Primates	USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1717
CY011352.1	A/New York/698/1995	H3N2	1995-01-31	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	RhMK 1 passage(s)	1721
CY114189.1	A/Geneva/A9509/1995	H3N2	1995-02-01	Homo sapiens	9606	human	Primates	Switzerland: Geneva	Europe	MDCK1 passage(s)	1731
CY012520.1	A/New York/700/1995	H3N2	1995-02-14	Homo sapiens	9606	human	Primates	USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1720
CY012496.1	A/New York/668/1995	H3N2	1995-02-18	Homo sapiens	9606	human	Primates	USA: Schenectady County, NY	North America	RhMK 1 passage(s)	1721
CY011328.1	A/New York/695/1995	H3N2	1995-03-02	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	RhMK 2 passage(s)	1721
CY118418.1	A/Malaysia/07145/1995	H3N2	1995-07-03	Homo sapiens	9606	human	Primates	Malaysia	Asia	P2 passage(s)	1731
CY112813.1	A/Victoria/75/1995	H3N2	1995-07-27	Homo sapiens	9606	human	Primates	Australia: Victoria	Oceania	MDCK1 passage(s)	1732
CY112773.2	A/Hong Kong/38/1995	H3N2	1995-08-01	Homo sapiens	9606	human	Primates	Hong Kong	Asia	MDCK1 passage(s)	1732
CY102172.1	A/pintail/Alberta/114/1995	H3N8	1995-08-07	Anas acuta	28680	avian	Anseriformes	Canada: Alberta	North America	P1 passage(s)	1740
CY116283.1	A/swine/England/704563/1995	H3N1	1995-08-23	Sus scrofa	9823	non-human mammal	Artiodactyla	United Kingdom: England	Europe		1701
